Name,LockedForChronos,Disabled,ItemName,WeaponSkill,UltimateSkill,Pet,Speed,Hitpoints,HealthPromilleLostPerSecond,HealPercentChange,LifeTimeTicks,MeleeAutoAttackSplashDamage,AutoAttackSpeedMs,AutoAttackDamage,AutoAttackBulletsPerShot,AutoAttackMode,AutoAttackProjectileSpread,AutoAttackProjectile,AutoAttackRange,RegeneratePerSecond,LowPriorityTarget,UltiChargeMul,UltiChargeUltiMul,Type,CarryableType,DamagerPercentFromAliens,DefaultSkin,ManualRotations,FileName,BlueExportName,RedExportName,ShadowExportName,AreaEffect,DeathAreaEffect,TakeDamageEffect,DeathEffect,MoveEffect,ReloadEffect,OutOfAmmoEffect,DryFireEffect,SpawnEffect,MeleeHitEffect,AutoAttackStartEffect,BoneEffect1,BoneEffect2,BoneEffect3,BoneEffect4,BoneEffectUse,LoopedEffect,LoopedEffect2,KillCelebrationSoundVO,InLeadCelebrationSoundVO,StartSoundVO,UseUltiSoundVO,TakeDamageSoundVO,DeathSoundVO,AttackSoundVO,UnlockVO,UnlockVOIndex,AttackStartEffectOffset,TwoWeaponAttackEffectOffset,ShadowScaleX,ShadowScaleY,ShadowX,ShadowY,ShadowSkew,Scale,HeroScreenScale,FitToBoxScale,EndScreenScale,GatchaScreenScale,HomeScreenScale,ShowPetInHeroScreen,HeroScreenXOffset,HeroScreenZOffset,HeroScreenEmoteX,HeroScreenEmoteY,CollisionRadius,HealthBar,HealthBarOffsetY,FlyingHeight,ProjectileStartZ,StopMovementAfterMS,WaitMS,TID,ForceAttackAnimationToEnd,IconSWF,IconExportName,RecoilAmount,Homeworld,FootstepClip,DifferentFootstepOffset,FootstepIntervalMS,AttackingWeaponScale,UseThrowingLeftWeaponBoneScaling,UseThrowingRightWeaponBoneScaling,CommonSetUpgradeBonus,RareSetUpgradeBonus,SuperRareSetUpgradeBonus,CanWalkOverWater,UseColorMod,RedAdd,GreenAdd,BlueAdd,RedMul,GreenMul,BlueMul,ChargeUltiAutomatically,ChargeUltiFromDamage,VideoLink,ShouldEncodePetStatus,SecondaryPet,ExtraMinions,PetAutoSpawnDelay,PetSpawnCount,HasPowerLevels,OffenseRating,DefenseRating,UtilityRating,UniqueProperty,UniquePropertyValue1,UniquePropertyValue2
string,boolean,boolean,string,string,string,string,int,int,int,int,int,boolean,int,int,int,string,int,string,int,int,boolean,int,int,String,string,int,string,boolean,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,boolean,int,int,int,int,int,string,int,int,int,int,int,string,boolean,string,string,int,string,string,int,int,int,boolean,boolean,int,int,int,boolean,boolean,int,int,int,int,int,int,int,int,string,boolean,boolean,int,int,int,boolean,int,int,int,int,int,int
ShotgunGirl,,,shelly,ShotgunGirlWeapon,ShotgunGirlUlti,,720,3800,,,,,,,,,,,12,,,134,112,Hero,,,BanditGirlDefault,,,,,,,,takedamage_gen,death_shotgun_girl,Gen_move_fx,reload_shotgun_girl,No_ammo_shotgungirl,Dry_fire_shotgungirl,,,,,,,,,,,Shelly_Kill,Shelly_Lead,Shelly_Start,Utilshotgun_Vo,ShellyTakedamge_Vo,Shelly_Die,,Shelly_Start,2,30,,80,80,,,35,116,210,284,90,175,260,,,,-25,40,120,Medium,-48,,450,,,TID_SHOTGUN_GIRL,,sc/ui.sc,hero_icon_shelly,1000,human,footstep,25,250,200,,,1,3,2,,,,,,,,,,,ShellyTutorial,,,,,,,4,3,2,,,
Gunslinger,,,colt,GunslingerWeapon,GunslingerUlti,,720,2800,,,,,,,,,,,12,,,93,87,Hero,,,GunSlingerDefault,,,,,,,,takedamage_gen,death_gunslinger,Gen_move_fx,reload_gunslinger,No_ammo_shotgungirl,Dry_fire_shotgungirl,,,,,,,,,,,Hotshot_Kill,Hotshot_Lead,Hotshot_Start,Hotshot_Ulti,Hotshot_Takedamge_Vo,Hotshot_Die,,Hotshot_Start,1,35,50,80,80,,,35,116,210,284,90,185,270,,,,-30,40,120,Medium,-52,,400,,,TID_GUNSLINGER,,sc/ui.sc,hero_icon_colt,300,human,footstep,25,300,160,,,2,3,1,,,,,,,,,,,ColtTutorial,,,,,,,5,2,2,,,
BullDude,,,bull,BullDudeWeapon,BullDudeUlti,,770,5000,,,,,,,,,,,12,,,100,150,Hero,,,BullGuyDefault,,,,,,,,takedamage_gen,death_bull_dude,Gen_move_fx,reload_bull_dude,No_ammo_shotgungirl,Dry_fire_shotgungirl,,,,,,,,,,,Bull_kill,Bull_lead,Bull_start,Bull_ulti,Bull_takedamage_vo,Bull_die,,Bull_start,0,40,,80,80,,,35,116,175,236,80,150,220,,,,-30,45,145,Medium,-64,,450,,,TID_BULL_DUDE,,sc/ui.sc,hero_icon_bull,600,human,footstep,40,300,130,,,1,2,3,,,,,,,,,,240,BullTutorial,,,,,,,3,4,2,,,
RocketGirl,,,brock,RocketGirlWeapon,RocketGirlUlti,,720,2400,,,,,,,,,,,12,,,69,80,Hero,,,RocketGirlDefault,,,,,,,,takedamage_gen,death_rocket_girl,Gen_move_fx,reload_rocket_girl,No_ammo_shotgungirl,Brock_dryfire,,,,,,,,,,,Brock_kill_vo,Brock_lead_vo,Brock_start_vo,Brock_ulti_vo,Brock_hurt_vo,Brock_die_vo,,Brock_start_vo,3,35,,80,80,,,35,116,200,270,90,180,260,,,,-50,,120,Medium,-52,,500,,,TID_ROCKET_GIRL,,sc/ui.sc,hero_icon_brock,300,human,footstep,25,500,100,,,2,3,1,,,,,,,,,,,BrockTutorial,,,,,,,5,2,2,,,
TrickshotDude,,,ricochet,TrickshotDudeWeapon,TrickshotDudeUlti,,720,2800,,,,,,,,,,,12,,,105,105,Hero,,,TrickshotDefault,,,,,,,,takedamage_gen,death_trickshot_dude,Gen_move_fx,reload_trickshot_dude,No_ammo_shotgungirl,dry_fire_mechanic,,,,,,,,,,,Rick_kill,Rick_lead,Rick_start,Rick_ulti,Rick_hurt,Rick_die,,Rick_start,0,60,,80,80,,,35,116,200,280,90,175,260,,,,-40,,120,Medium,-49,,450,,,TID_TRICKSHOT_DUDE,,sc/ui.sc,hero_icon_rick,300,human,footstep,25,300,160,,,2,3,1,,,,,,,,,,,RicoTutorial,,,,,,,5,2,2,,,
Cactus,,,spike,CactusWeapon,CactusUlti,,720,2400,,,,,,,,,,,12,,,103,125,Hero,,,CactusDefault,,,,,,,,takedamage_gen,death_cactus,Gen_move_fx,reload_cactus,No_ammo_shotgungirl,crow_dryfire,,,,,,,,,,,,,,,,,,,,35,,80,80,,,35,116,240,324,80,210,290,,,,,50,120,Medium,-32,,450,,,TID_CACTUS,,sc/ui.sc,hero_icon_spike,0,human,footstep,40,300,100,true,true,2,1,3,,,,,,,,,,,SpikeTutorial,,,,,,,4,2,3,,,
Barkeep,,,barley,BarkeepWeapon,BarkeepUlti,,720,2400,,,,,,,,,,,12,,,100,74,Hero,,,BarkeepDefault,,,,,,,,takedamage_gen,death_barkeep,Gen_move_fx,reload_barkeep,No_ammo_shotgungirl,dry_fire_barkeep,,,,,,,,,,,Barley_Kill,Barley_Lead,Barley_Start,Barley_Ulti,Barley_Hurt,Barley_Die,Barley_throw,Barley_Start,0,,,80,80,,,35,116,190,290,80,180,250,,,,-30,,120,Medium,-45,,350,,,TID_BARKEEP,,sc/ui.sc,hero_icon_barley,0,human,footstep,25,300,100,true,true,2,3,1,,,,,,,,,,,BarleyTutorial,,,,,,,5,2,2,,,
Mechanic,,,jessie,MechanicWeapon,MechanicUlti,,720,3000,,,,,,,,,,,12,,,63,97,Hero,,,MechanicDefault,,,,,,,,takedamage_gen,death_mechanic,Gen_move_fx,reload_mechanic,No_ammo_shotgungirl,dry_fire_mechanic,,,,,,,,,,,Jess_kill,Jess_lead,Jess_start,Jess_ulti,Jess_takedamage,Jess_die,,Jess_start,0,35,,80,80,,,35,116,190,300,80,150,270,true,-800,100,-80,60,120,Medium,-47,,350,,,TID_MECHANIC,,sc/ui.sc,hero_icon_jess,500,human,footstep,20,200,160,,,3,2,1,,,,,,,,,,,JessieTutorial,,,,,,,3,2,4,,,
Shaman,,,nita,ShamanWeapon,ShamanUlti,,720,4000,,,,,,,,,,,12,,,76,100,Hero,,,ShamanDefault,,,,,,,,takedamage_gen,death_shaman,Gen_move_fx,,No_ammo_shotgungirl,dry_fire_barkeep,,,,,,,,,,,Nita_kill,Nita_lead,Nita_start,Nita_ulti,Nita_hurt,Nita_death,,Nita_start,0,35,,80,80,,,35,116,190,250,80,150,270,true,-600,1000,-250,60,120,Medium,-46,,100,,,TID_SHAMAN,,sc/ui.sc,hero_icon_nita,1000,human,footstep,25,250,160,,,3,1,2,,,,,,,,,,,NitaTutorial,,,,,,,3,4,2,,,
